Dates,Value,Event,Alert,Vix
2009-12-08,1091.94,,0,22.84
2009-12-09,1095.95,,0,22.54
2009-12-10,1102.35,,0,21.77
2009-12-11,1106.41,,0,21.39
2009-12-14,1114.11,,0,20.57
2009-12-15,1107.93,,0,20.91
2009-12-16,1109.18,,0,20.46
2009-12-17,1096.08,,0,21.4
2009-12-18,1102.47,,0,21.68
2009-12-21,1114.05,,0,20.28
2009-12-22,1118.02,,0,19.54
2009-12-23,1120.59,,0,19.35
2009-12-24,1126.48,,0,19.25
2009-12-28,1127.78,,0,19.9
2009-12-29,1126.2,,0,19.62
2009-12-30,1126.42,,0,19.93
2009-12-31,1115.1,,0,19.89
2010-01-04,1132.99,,0,20.03
2010-01-05,1136.52,,0,19.34
2010-01-06,1137.14,,0,18.77
2010-01-07,1141.69,,0,18.7
2010-01-08,1144.98,,0,18.11
2010-01-11,1146.98,,0,16.86
2010-01-12,1136.22,,0,17.95
2010-01-13,1145.68,,0,17.56
2010-01-14,1148.46,,0,17.38
2010-01-15,1136.03,,0,17.63
2010-01-19,1150.23,,0,17.33
2010-01-20,1138.04,,0,18.44
2010-01-21,1116.48,,0,18.27
2010-01-22,1091.76,,0,22.27
2010-01-25,1096.78,,0,24.61
2010-01-26,1092.17,,0,22.77
2010-01-27,1097.5,,0,23.14
2010-01-28,1084.53,,0,22.69
2010-01-29,1073.87,,0,22.11
2010-02-01,1089.19,,0,22.58
2010-02-02,1103.32,,0,21.08
2010-02-03,1097.28,,0,21.33
2010-02-04,1063.11,,0,22.63
2010-02-05,1066.19,,0,25.37
2010-02-08,1056.74,,0,25.48
2010-02-09,1070.52,,0,24.78
2010-02-10,1068.13,,0,24.8
2010-02-11,1078.47,,0,23.87
2010-02-12,1075.51,,0,22.73
2010-02-16,1094.87,,0,22.13
2010-02-17,1099.51,,0,21.7
2010-02-18,1106.75,,0,20.6
2010-02-19,1109.17,,0,19.71
2010-02-22,1108.01,,0,19.59
2010-02-23,1094.6,,0,20.06
2010-02-24,1105.24,,0,20.22
2010-02-25,1102.94,,0,20.06
2010-02-26,1104.49,,0,19.32
2010-03-01,1115.71,,0,19.18
2010-03-02,1118.31,,0,18.6
2010-03-03,1118.79,,0,18.42
2010-03-04,1122.97,,0,18.58
2010-03-05,1138.7,,0,17.23
2010-03-08,1138.5,,0,17.56
2010-03-09,1140.45,,0,17.51
2010-03-10,1145.61,,0,17.43
2010-03-11,1150.24,,0,18.06
2010-03-12,1149.99,,0,17.58
2010-03-15,1150.51,,0,17.96
2010-03-16,1159.46,,0,17.42
2010-03-17,1166.21,,0,16.52
2010-03-18,1165.83,,0,16.31
2010-03-19,1159.9,,0,16.17
2010-03-22,1165.81,,0,16.77
2010-03-23,1174.17,,0,16.21
2010-03-24,1167.72,,0,16.83
2010-03-25,1165.73,,0,16.62
2010-03-26,1166.59,,0,17.35
2010-03-29,1173.22,,0,17.57
2010-03-30,1173.27,,0,17.13
2010-03-31,1169.43,,0,17.29
2010-04-01,1178.1,,0,16.79
2010-04-05,1187.44,,0,17.02
2010-04-06,1189.44,,0,16.08
2010-04-07,1182.45,,0,16.16
2010-04-08,1186.44,,0,16.3
2010-04-09,1194.37,,0,16.06
2010-04-12,1196.48,,0,15.23
2010-04-13,1197.3,,0,15.81
2010-04-14,1210.65,,0,15.55
2010-04-15,1211.67,,0,15.68
2010-04-16,1192.13,,0,16.11
2010-04-19,1197.52,,0,17.34
2010-04-20,1207.17,,0,15.73
2010-04-21,1205.94,,0,15.5
2010-04-22,1208.67,,0,16.2
2010-04-23,1217.28,,0,16.12
2010-04-26,1212.05,,0,17.07
2010-04-27,1183.71,Greek debt is downgraded to junk.,1,17.94
2010-04-28,1191.36,,0,20.86
2010-04-29,1206.78,,0,18.44
2010-04-30,1186.69,,0,18.41
2010-05-03,1202.26,The start of the Eurozone crisis. Greece is bailed out for the first time after Eurozone finance ministers agree loans worth 110bn.,1,19.61
2010-05-04,1173.6,,0,22.46
2010-05-05,1165.9,,0,23.75
2010-05-06,1128.15,,0,24.43
2010-05-07,1110.88,,0,31.71
2010-05-10,1159.73,,0,25.68
2010-05-11,1155.79,,0,25.86
2010-05-12,1171.67,,0,24.98
2010-05-13,1157.44,,0,24.3
2010-05-14,1135.68,,0,28.4
2010-05-17,1136.94,,0,30.76
2010-05-18,1120.8,,0,28.09
2010-05-19,1115.05,,0,33.07
2010-05-20,1071.59,,0,40.3
2010-05-21,1087.69,,0,38.95
2010-05-24,1073.65,,0,35.57
2010-05-25,1074.03,,0,34.59
2010-05-26,1067.95,,0,24.1
2010-05-27,1103.06,,0,29.54
2010-05-28,1089.41,,0,29.53
2010-06-01,1070.71,,0,31.82
2010-06-02,1098.38,,0,29.94
2010-06-03,1102.83,,0,29.12
2010-06-04,1064.88,,0,31.81
2010-06-07,1050.47,,0,34.43
2010-06-08,1062,,0,33.36
2010-06-09,1055.69,,0,30.23
2010-06-10,1086.84,,0,29.69
2010-06-11,1091.6,,0,28.6
2010-06-14,1089.63,,0,26.98
2010-06-15,1115.23,,0,25.68
2010-06-16,1114.61,,0,25.34
2010-06-17,1116.04,,0,25.05
2010-06-18,1117.51,,0,23.3
2010-06-21,1113.2,,0,22.87
2010-06-22,1095.31,,0,24.41
2010-06-23,1092.04,,0,26.54
2010-06-24,1073.69,,0,27.53
2010-06-25,1076.76,,0,28.07
2010-06-28,1074.57,,0,28.47
2010-06-29,1041.24,,0,31.22
2010-06-30,1030.71,,0,31.74
2010-07-01,1027.37,,0,32.72
2010-07-02,1022.58,,0,29.35
2010-07-06,1028.06,,0,27.96
2010-07-07,1060.27,,0,26.84
2010-07-08,1070.25,,0,25.71
2010-07-09,1077.96,,0,24.37
2010-07-12,1078.75,,0,23.53
2010-07-13,1095.34,,0,23.12
2010-07-14,1095.17,,0,24.18
2010-07-15,1096.48,,0,24.74
2010-07-16,1064.88,,0,25.71
2010-07-19,1071.25,,0,25.12
2010-07-20,1083.48,,0,23.79
2010-07-21,1069.59,,0,23.59
2010-07-22,1093.67,,0,23.72
2010-07-23,1102.66,,0,23.32
2010-07-26,1115.01,,0,22.7
2010-07-27,1113.84,,0,21.86
2010-07-28,1106.13,,0,22.24
2010-07-29,1101.53,,0,23.04
2010-07-30,1101.6,,0,23.35
2010-08-02,1125.86,,0,21.74
2010-08-03,1120.46,,0,21.98
2010-08-04,1127.24,,0,22.16
2010-08-05,1125.81,,0,22.07
2010-08-06,1121.64,,0,21.72
2010-08-09,1127.79,,0,21.36
2010-08-10,1121.06,,0,22.17
2010-08-11,1089.47,,0,24.96
2010-08-12,1083.61,,0,25.18
2010-08-13,1079.25,,0,25.45
2010-08-16,1079.38,,0,25.38
2010-08-17,1092.54,,0,23.71
2010-08-18,1094.16,,0,23.4
2010-08-19,1075.63,,0,24.26
2010-08-20,1071.69,,0,25.49
2010-08-23,1067.36,,0,24.62
2010-08-24,1051.87,,0,26.32
2010-08-25,1055.33,,0,26.46
2010-08-26,1047.22,,0,25.86
2010-08-27,1064.59,,0,24.41
2010-08-30,1048.92,,0,25.41
2010-08-31,1049.33,,0,25.93
2010-09-01,1080.29,,0,23.86
2010-09-02,1090.1,,0,23.15
2010-09-03,1104.51,,0,21.24
2010-09-07,1091.84,,0,22.77
2010-09-08,1098.87,,0,22.92
2010-09-09,1104.18,,0,22.14
2010-09-10,1109.55,,0,21.76
2010-09-13,1121.9,,0,20.93
2010-09-14,1121.1,,0,20.85
2010-09-15,1125.07,,0,22.1
2010-09-16,1124.66,,0,21.71
2010-09-17,1125.59,,0,21.63
2010-09-20,1142.71,,0,21.25
2010-09-21,1139.78,,0,21.42
2010-09-22,1134.28,,0,21.91
2010-09-23,1124.83,,0,22.56
2010-09-24,1148.67,,0,21.71
2010-09-27,1142.16,,0,21.97
2010-09-28,1147.7,,0,22.4
2010-09-29,1144.73,,0,22.72
2010-09-30,1141.2,,0,22.39
2010-10-01,1146.24,,0,22.46
2010-10-04,1137.03,,0,23.3
2010-10-05,1160.75,,0,21.71
2010-10-06,1159.97,,0,21.46
2010-10-07,1158.06,,0,21.28
2010-10-08,1165.15,,0,20.29
2010-10-11,1165.32,,0,18.8
2010-10-12,1169.77,,0,18.55
2010-10-13,1178.1,,0,17.9
2010-10-14,1173.81,,0,19.4
2010-10-15,1176.19,,0,19.02
2010-10-18,1184.71,,0,18.88
2010-10-19,1165.9,,0,19.33
2010-10-20,1178.17,,0,19.67
2010-10-21,1180.26,,0,18.93
2010-10-22,1183.08,,0,18.76
2010-10-25,1185.62,,0,18.86
2010-10-26,1185.64,,0,20.22
2010-10-27,1182.45,,0,20.69
2010-10-28,1183.78,,0,20.18
2010-10-29,1183.26,,0,20.86
2010-11-01,1184.38,,0,20.92
2010-11-02,1193.57,,0,21.22
2010-11-03,1197.96,,0,19.54
2010-11-04,1221.06,,0,17.97
2010-11-05,1225.85,,0,17.92
2010-11-08,1223.25,,0,18.21
2010-11-09,1213.4,,0,17.83
2010-11-10,1218.71,,0,18.41
2010-11-11,1213.54,,0,18.48
2010-11-12,1199.21,,0,19.29
2010-11-15,1197.75,,0,19.14
2010-11-16,1178.34,,0,20.95
2010-11-17,1178.59,,0,21.22
2010-11-18,1196.69,,0,18.75
2010-11-19,1199.73,,0,17.76
2010-11-22,1197.84,,0,18.35
2010-11-23,1180.73,,0,20.24
2010-11-24,1198.35,,0,18.73
2010-11-26,1189.4,,0,20.28
2010-11-29,1187.76,European ministers agree a bailout for Ireland.,1,21.38
2010-11-30,1180.55,,0,22.42
2010-12-01,1206.07,,0,20.4
2010-12-02,1221.53,,0,19.1
2010-12-03,1224.71,,0,17.71
2010-12-06,1223.12,,0,17.95
2010-12-07,1223.75,,0,17.13
2010-12-08,1228.28,,0,17.69
2010-12-09,1233,,0,17.24
2010-12-10,1240.4,,0,17.06
2010-12-13,1240.46,,0,16.68
2010-12-14,1241.59,,0,17.22
2010-12-15,1235.23,,0,17.37
2010-12-16,1242.87,,0,16.88
2010-12-17,1243.91,,0,15.46
2010-12-20,1247.08,,0,15.78
2010-12-21,1254.6,,0,16.08
2010-12-22,1258.84,,0,15.45
2010-12-23,1256.77,,0,15.4
2010-12-27,1257.54,,0,17.66
2010-12-28,1258.51,,0,17.3
2010-12-29,1259.78,,0,17.02
2010-12-30,1257.88,,0,17.46
2010-12-31,1257.64,,0,17.75
